key,en,es,zh
TOWERDEFENSE_PLANT_CARDLESS_NAME,Cardless,Cardless,全息卡牌投影
TOWERDEFENSE_ZOMBIE_POGOBALL_NAME,PogoBallZombie,PogoBallZombie,跳跳球僵尸
TOWERDEFENSE_PLANT_HYPNOSHROOM_NAME,Hypno Shroom,Hypno Shroom,魅惑菇
TOWERDEFENSE_PLANT_GARGANTUARSHROOM_NAME,Gargantuar Shroom,Gargantuar Shroom,红眼菇
TOWERDEFENSE_PLANT_UPGRADEBEAN_NAME,Upgrade Coffee-bean,Upgrade Coffee-bean,升值豆
TOWERDEFENSE_ZOMBIE_ZAMBONIPULT_NAME,Ice Truck Zombie,Ice Truck Zombie,投冰车僵尸
TOWERDEFENSE_ZOMBIE_HYPNOTIST_NAME,Hypnotist Zombie,Hypnotist Zombie,催眠师僵尸
TOWERDEFENSE_ZOMBIE_CREW_NAME,Crew Zombie,Crew Zombie,海盗船员僵尸
TOWERDEFENSE_PLANT_JEWELBOMB_NAME,Jewel Bomb,Jewel Bomb,宝石炸弹
TOWERDEFENSE_ZOMBIE_GARGANTUAR_REDEYE_NAME,Gargantuar,Gargantuar,暴走伽刚特尔
TOWERDEFENSE_ZOMBIE_DIGGER_POTATOMINE_NAME,Gatling Pea Digger Zombie,Gatling Pea Digger Zombie,土豆雷矿工僵尸
TOWERDEFENSE_PLANT_CHOMPERBLOW_NAME,Chomper Blow,Chomper Blow,三叶大嘴花
TOWERDEFENSE_PLANT_NUTSEED_NAME,Sunflower Seed,Sunflower Seed,瓜子
TOWERDEFENSE_PLANT_POT_NAME,Pot,Pot,花盆
TOWERDEFENSE_PLANT_PUMPSLED_NAME,Pumpkin Sledge,Pumpkin Sledge,巨型南瓜雪橇
TOWERDEFENSE_ZOMBIE_FOOTBALLBLACK_FUMESHROOM_NAME,FootballBlack FumeShroom Zombie,FootballBlack FumeShroom Zombie,大喷菇暗黑橄榄球僵尸
TOWERDEFENSE_ZOMBIE_ARMORED_GARGANTUARREDEYES_NAME,Armored GargantuarRedEyes,Armored GargantuarRedEyes,武装红眼伽刚特尔
TOWERDEFENSE_ZOMBIE_CAPTAIN_NAME,Captain Zombie,Captain Zombie,海盗船长僵尸
TOWERDEFENSE_PLANT_BOWLINGEGG_NAME,Bowling Easter-Egg,Bowling Easter-Egg,保龄球彩蛋
TOWERDEFENSE_PLANT_MELONNUT_NAME,Watermelon Nut,Watermelon Nut,西瓜坚果
DIALOG_REGISTER,REGISTER,REGISTER,注册
TOWERDEFENSE_PLANT_SNOWSHROOM_NAME,Snow Shroom,Snow Shroom,雪花寒冰菇
TOWERDEFENSE_PLANT_SUNPAD_NAME,Poached Pad,Poached Pad,骄阳睡莲
TOWERDEFENSE_PLANT_SQUASHKING_NAME,Squash King,Squash King,窝瓜王
BGM_BRAINIAC_MANIAC,BrainiacManiac,BrainiacManiac,BOSS战
TOWERDEFENSE_PLANT_PRESENTBOX_NAME,PresentBox,PresentBox,抽奖盒子
TOWERDEFENSE_PLANT_SUNPEASHOOTER_NAME,Sun PeaShooter,Sun PeaShooter,骄阳豌豆射手
TOWERDEFENSE_ZOMBIE_BACKUPGARGANTUAR_NAME,Zombie Backup Gargantuar,Zombie Backup Gargantuar,伴舞伽刚特尔
MAP_TREASUREISLAND_FRONTLAWN,Gold and Silver Island,Gold and Silver Island,金银岛
TOWERDEFENSE_PLANT_DISGUISERGATLING_NAME,Disguiser Blover,Disguiser Blover,伪装的机枪射手
TOWERDEFENSE_PLANT_DOOMSHROOM_NAME,Doom-shroom,Doom-shroom,毁灭菇
TOWERDEFENSE_ZOMBIE_MELONPULT_NAME,Melonpult Zombie,Melonpult Zombie,西瓜投手僵尸
MAP_VAMPIRE,Vampire,Vampire,吸血鬼屋
TOWERDEFENSE_PLANT_TWINKABBAGE_NAME,Twin-KabbageTail,Twin-KabbageTail,双重玉米卷香蒲
TOWERDEFENSE_PLANT_CHOMPERZ_NAME,Zombie Chomper,Zombie Chomper,僵尸大嘴花
TOWERDEFENSE_PLANT_VIPNUT_NAME,VIP Nut,VIP Nut,至尊VIP坚果
TOWERDEFENSE_ZOMBIE_FOOTBALLIMPBLACK_NAME,BlackFootball ImpZombie,BlackFootball ImpZombie,暴走黑橄榄红眼小鬼僵尸
TOWERDEFENSE_PLANT_JALANUT_NAME,Jalapeno Nut,Jalapeno Nut,火爆坚果
INGAME_VIEW_BACK,CLICK ANYWHERE TO RETURN,CLICK ANYWHERE TO RETURN,点击任意位置返回
TOWERDEFENSE_PLANT_CHERRYBOMB_NAME,CherryBomb,CherryBomb,樱桃炸弹
TOWERDEFENSE_PLANT_JALASUNSHROOM_NAME,Chili Sun Mushroom,Chili Sun Mushroom,辣椒阳光菇
TOWERDEFENSE_PLANT_MARIGOLDMAGNET_NAME,Golden Gold Magnet,Golden Gold Magnet,金盏吸金磁
TOWERDEFENSE_ZOMBIE_FOOTBALLBLACK_GLOOMSHROOM_NAME,FootballBlack FumeShroom Zombie,FootballBlack FumeShroom Zombie,忧郁菇暗黑橄榄球僵尸
INGAME_ROCK,LET'S ROCK!,LET'S ROCK!,一起摇滚吧!
MAP_UNDEADVILLAGE_BROKEN,"Undead Village (Night,BrokenEmpty)","Undead Village (Night,BrokenEmpty)",鬼灵村庄(裸地破损)
LEVLE_EVENT_SET_GAME_MODE,SetGameMode,SetGameMode,设置游戏模式
TOWERDEFENSE_PLANT_SPIKESHROOM_NAME,Spike Shroom,Spike Shroom,雷果子
DIALOG_EXIT,EXIT,EXIT,退出关卡
TOWERDEFENSE_PLANT_JALAPENO_NAME,Jalapeno,Jalapeno,火爆辣椒
TOWERDEFENSE_ZOMBIE_SPECIALHELMET_NAME,Bucket Head Zombie,Bucket Head Zombie,废稿头盔僵尸
TOWERDEFENSE_PLANT_ICECACTUS_NAME,Ice Cactus,Ice Cactus,寒冰仙人掌
TOWERDEFENSE_ZOMBIE_ICENUT_NAME,IceNut Zombie,IceNut Zombie,冰冻坚果僵尸
TOWERDEFENSE_PLANT_ICESHROOM_NAME,Ice-shroom,Ice-shroom,寒冰菇
TOWERDEFENSE_PLANT_COFFEEBEANSALE_NAME,Sale Coffee-bean,Sale Coffee-bean,促销豆
TOWERDEFENSE_PLANT_PINATA_NAME,Pinata,Pinata,消消乐糖果
TOWERDEFENSE_PLANT_HAMMERLIGHT_NAME,Hammer Light,Hammer Light,荧光木槌
MAP_FRONTLAWN_COLD,Front Yard (Winter),Front Yard (Winter),前院(冬)
TOWERDEFENSE_TIPS_DAY,SUN IS RISING,SUN IS RISING,天亮了！
TOWERDEFENSE_ZOMBIE_BED_NAME,Bed zombie,Bed zombie,床车僵尸
TOWERDEFENSE_ZOMBIE_YETIDIGGER_NAME,Yeti Digger Zombie,Yeti Digger Zombie,矿工雪人僵尸
MAP_TREASUREISLAND_FRONTLAWN_NIGHT,Gold and Silver Island Night,Gold and Silver Island Night,金银岛(夜晚)
TOWERDEFENSE_ZOMBIE_BALLOONCOLOUR_NAME,Colorful Balloon Zombie,Colorful Balloon Zombie,多彩气球僵尸
PLAYERS_MORDEN_BACKYARD_NIGHT_LEVEL_NAME,Crossover Fog 4 - {LevelNumber},Crossover Fog 4 - {LevelNumber},穿越迷雾4 - {LevelNumber}
TOWERDEFENSE_PLANT_CACTUSBLOVER_NAME,CactusBlover,CactusBlover,仙人三叶草
TOWERDEFENSE_PLANT_SEASTAR_NAME,Sea Star,Sea Star,海洋星
TOWERDEFENSE_PLANT_HYPNODOOMSHROOM_NAME,HypnoDoomShroom,HypnoDoomShroom,魅惑毁灭菇
TOWERDEFENSE_PLANT_FIREWORK_NAME,FireWork,FireWork,潜艇烟花
TOWERDEFENSE_PLANT_THREEPEATERG_NAME,Threepeater Garlic,Threepeater Garlic,大蒜三线射手
TOWERDEFENSE_ZOMBIE_IMP_PUFFSHROOM_NAME,Puffshroom ImpZombie,Puffshroom ImpZombie,小喷菇小鬼僵尸
TOWERDEFENSE_ZOMBIE_JALAPENO_NAME,Hot Pepper Zombie,Hot Pepper Zombie,火爆辣椒僵尸
TOWERDEFENSE_PLANT_MELONPULTSPIKE_NAME,Melon Pult Spike,Melon Pult Spike,地刺西瓜投手
<!MissingKey:561:TOMBSTONE BEGINS TO GROW>,TOMBSTONE BEGINS TO GROW,,寒光土豆雷
LOAD_LEVEL,Load level,Load level,加载关卡
TOWERDEFENSE_ZOMBIE_ZOMBONI_NAME,Sledge Zombie,Sledge Zombie,雪橇车僵尸
TOWERDEFENSE_ZOMBIE_IMP_SUNSHROOM_NAME,Seashroom ImpZombie,Seashroom ImpZombie,阳光菇小鬼僵尸
